,0
0,0.0
1,-2.318518940055346e+122
2,7.810893255558122e+182
3,-1.723419129410817e+122
4,3.338749704086608e+31
5,3.9913337098630893e+31
6,2.9043645826679933e+66
7,-3.2079672717642285e+66
8,5.860977655609179e+31
9,3.9913337098630906e+31
10,8.218068789635632e+76
11,2.9045525041849246e+66
12,1.05
13,1.045
14,1.01
15,-2.00751945055797e+123
16,-8.230781854998831e+183
17,4.34544594169698e+121
18,1.5591079051424603e+92
19,1.6341907762098773e+90
20,-1.194151888557895e+121
21,1.06
22,-1.1134887408279248e+112
23,1.04
