16.12586966,-5.246899343,-5.425346545,-5.453623768,0,0,0,0,0,0,0,-24.58490779,-1.191770152,-1.770334808,-1.78619665,0,0,0
-5.246899343,5.624317643,-0.377418299,0,0,0,0,0,0,0,0,-1.186095056,-7.907205031,-1.464093801,0,0,0,0
-5.425346545,-0.377418299,29.41306323,-21.79433952,0,-1.815958862,0,0,0,0,0,-1.702893482,-1.415057166,-30.1300915,-6.909390468,0,0,0
-5.453623768,0,-21.79433952,31.21590234,-3.967939052,0,0,0,0,0,0,-1.701139667,0,-6.840980661,-27.83162269,0,0,0
0,0,0,-3.967939052,17.70689814,0,0,-4.094074344,-3.175963965,-6.468920775,0,0,0,0,0,-19.92570587,0,0
0,0,-1.815958862,0,0,12.18135299,-10.36539413,0,0,0,-3.029050457,0,0,0,0,0,-14.55415963,-3.902049552
0,0,0,0,0,-10.36539413,14.76833788,-4.402943749,0,0,0,0,0,0,0,0,-3.902049552,-17.34880292
0,0,0,0,-4.094074344,0,-4.402943749,8.497018094,0,0,0,0,0,0,0,-1.955028563,0,-1.880884754
0,0,0,0,-3.175963965,0,0,0,5.563057069,-2.387093104,0,0,0,0,0,-1.52596744,0,0
0,0,0,0,-6.468920775,0,0,0,-2.387093104,8.856013879,-2.453861284,0,0,0,0,-3.284863048,0,0
0,0,0,0,0,-3.029050457,0,0,0,-2.453861284,5.482911741,0,0,0,0,0,-1.424005487,0
4.819634615,1.245399809,1.788038156,1.78619665,0,0,0,0,0,0,0,-79.27633344,-5.020956309,-5.371630242,-5.453623768,0,0,0
1.245399809,2.724134547,1.478734739,0,0,0,0,0,0,0,0,-4.997046994,-16.1827261,-0.373681484,0,0,0,0
1.788038156,1.478734739,10.17616336,6.909390468,0,0,0,0,0,0,0,-5.166996709,-0.361165837,-87.44603464,-21.79433952,0,-1.815958862,0
1.78619665,0,6.909390468,8.695587119,0,0,0,0,0,0,0,-5.193927398,0,-21.57855398,-101.2505106,-3.967939052,0,0
0,0,0,0,6.765859052,0,0,1.955028563,1.52596744,3.284863048,0,0,0,0,-3.967939052,-52.38836376,0,0
0,0,0,0,0,3.902049552,3.902049552,0,0,0,1.424005487,0,0,-1.797979072,0,0,-42.5662003,-10.36539413
0,0,0,0,0,3.902049552,5.782934306,1.880884754,0,0,0,0,0,0,0,0,-10.36539413,-44.30501363
